date,IWM~open,IWM~high,IWM~low,IWM~close,IWM~volume
20191231,165.08,166.35,164.71,165.67,17362311.0
20191230,165.98,166.205,164.57,165.44,14908447.0
20191227,167.12,167.12,165.43,165.86,12260570.0
20191226,166.83,166.98,166.36,166.68,9371226.0
20191224,166.45,166.7,166.04,166.68,4334517.0
20191223,166.1899,166.36,165.36,166.3,13371978.0
20191220,166.15,166.41,165.72,165.97,25447792.0
20191219,165.28,165.73,164.88,165.73,11918761.0
20191218,165.06,165.28,164.32,165.02,15373562.0
20191217,164.14,164.7,163.695,164.7,12979392.0
20191216,164.06,164.845,163.735,163.88,20113041.0
20191213,163.13534723565783,164.2114247719341,161.95963289046713,162.7368,23279088.0
20191212,162.1588946999268,164.5003595389119,161.6607106916321,163.3645,24839561.0
20191211,162.2884377952756,162.48771141732286,161.3618154527559,161.9696,18541863.0
20191210,161.82012640059034,162.36812879896684,161.35183344197773,162.0194,13703289.0
20191209,162.15892837363856,162.5624575041536,161.80023581318073,161.9198,13475535.0
20191206,161.9995352720796,162.81655734553496,161.90986211767597,162.2287,16485980.0
20191205,160.88357515223066,161.06292143034673,159.86727957623958,160.3555,11455020.0
20191204,159.91711686776964,160.63450206493346,159.7178432018908,160.1961,10823872.0
20191203,158.2432232089178,159.5368082529434,157.52583798847692,159.1001,14959300.0
20191202,161.54693297684,161.6208634871091,159.32921694238095,159.6082,17179320.0
20191129,161.82017571243122,162.20377750819063,161.0828631699326,161.1825,9988199.0
20191127,161.79023440397958,162.33823679911563,161.49132400663268,162.2386,13191494.0
20191126,161.16258210155235,161.949713105325,160.70425265631764,161.1028,15493577.0
20191125,158.4524606758262,161.24229209060528,158.31296910508723,160.9932,24743431.0
20191122,157.7350731513083,157.9642378713184,156.77855953735303,157.6454,13481243.0
20191121,158.24324164077854,158.31298743422303,156.65901576111077,157.1572,15354315.0
20191120,157.9741547220996,159.01535933695038,156.68883993438902,157.9343,21304165.0
20191119,158.5321,159.11995707372256,157.73500566274905,158.5321,15149282.0
20191118,158.14357365632094,158.16350102195307,157.36640639666916,157.9443,10745988.0
20191115,158.65167407500633,158.71145615403978,157.77487024918202,158.3428,13119074.0
20191114,157.35641741935484,158.33285817836813,157.22071208121443,157.5258,13053286.0
20191113,157.16708911792603,157.92432880177046,156.61908671514385,157.5756,14685926.0
20191112,158.35283684442484,159.29938686646096,157.90945288673424,158.2532,14283411.0
20191111,157.45602405214763,158.3228641516564,157.30656886257717,158.2033,10508711.0
20191108,157.70520520492832,158.69161001382952,157.37640360196124,158.5023,11966919.0
20191107,159.1598412354239,159.58827952095808,157.59554330917112,158.0738,13404197.0
20191106,158.41253963850096,158.41253963850096,157.23682546293372,157.6553,16006392.0
20191105,158.82109205152372,159.8772423499843,158.3926537229029,158.572,13730685.0
20191104,158.82106561811895,159.1199760301982,157.8944433406732,158.3727,16107651.0
20191101,155.8319741935484,157.61049129032259,155.48324535104365,157.5258,18342638.0
20191031,155.5330391765841,155.5330391765841,153.6797947635896,154.8854,17325561.0
20191030,156.22052925222283,156.24045661101516,154.71601366340434,155.7622,14448485.0
20191029,155.4434504558495,156.7686205674211,155.29399518010837,156.2804,11969618.0
20191028,155.09466964308558,156.40987563003708,154.44314449545863,155.7722,15050325.0
20191025,153.3510584580645,154.96517524516128,153.34109477419355,154.4371,10516677.0
20191024,154.38730376832274,154.49690430665456,152.91267834349463,153.6201,8680414.0
20191023,153.77951788860105,154.18802898316062,152.99238675518137,153.8393,8763008.0
20191022,153.63993632060175,154.48684906945076,153.1816070682835,153.6499,12672072.0
20191021,153.6101279018437,154.41718636717735,153.34609025577774,153.4806,17462046.0
20191018,152.37463792674137,152.94256798374943,150.9000125155625,152.0558,14490190.0
20191017,151.7369133885483,152.952482594235,151.4977850202165,152.7831,13447964.0
20191016,150.66083481359286,151.71698510062683,150.59108903992077,150.9996,13159208.0
20191015,149.62463064931634,151.57751255697207,149.246010687628,150.8402,18002476.0
20191014,149.36552832230907,149.7797185039086,148.55847023451594,149.1264,10706922.0
20191011,149.22434057728665,151.4080803088803,147.15010168819063,149.6744,29560524.0
20191010,146.80488011102085,147.96066714053615,146.56575176008664,147.1835,16176801.0
20191009,147.00421109223134,147.15107581173112,146.10747942635763,146.5957,10956592.0
20191008,146.88461356001636,147.39276138877509,145.5793710979107,145.9281,18390496.0
20191007,148.23966317839873,149.52497817705535,147.58206015583022,148.3393,16048194.0
20191004,147.45257621027224,148.70800053640875,146.58573560413038,148.5984,18811799.0
20191003,146.1572136591309,147.40267358873695,144.40360607824556,147.2034,26240236.0
20191002,147.09381987096774,147.09381987096774,145.33024836672328,146.7152,24992756.0
20191001,151.557618332547,152.79311531980858,147.51236206780345,147.8312,34212288.0
20190930,150.82029105325756,151.70705896656534,150.24239735694462,150.7904,17763906.0
20190927,152.26497102408044,152.66351825879863,149.953397062715,150.611,20181809.0
20190926,153.3610071662948,153.3610071662948,151.39816163538524,151.8266,21073362.0
20190925,151.72691034393253,153.79935566515252,151.2486537313433,153.5403,22089228.0
20190924,154.58652141966803,154.7260129633274,151.28854278029257,151.8764,28301374.0
20190923,153.74912802781535,154.83130902710707,153.45128004635887,154.1959,15445329.0
20190920,154.52359366917582,155.52634893521198,153.34212954384608,154.3151,23483892.0
20190919,155.67523985618902,156.68792317668206,154.4093857055727,154.6427,21914563.0
20190918,156.3504140301559,156.3702705724508,153.95273654804498,155.3973,19812719.0
20190917,156.23123251000064,156.44469028192265,155.32776008000505,156.3603,23004494.0
20190916,155.8440707916403,157.61130303989867,155.57600747308422,156.7674,23236582.0
20190913,156.7177265272392,157.78005131269467,156.00289115758693,156.1816,31028522.0
20190912,156.05249573357108,156.7673309347937,154.45404479750383,155.9135,38600846.0
20190911,153.41158965605095,156.03265228025475,152.45351184076432,155.8738,42913843.0
20190910,150.5919658888528,152.84568267793304,149.80763273318166,152.7464,29567058.0
20190909,149.4899122572576,151.14793280231717,148.98357065367654,150.8203,25757292.0
20190906,149.61896124082722,150.14515931287525,148.75520214142765,148.8247,14645652.0
20190905,148.77505728803425,150.8202799641327,148.2985005479725,149.475,25656476.0
20190904,146.94828053977272,147.29576988636367,146.1192702414773,146.7795,13105383.0
20190903,146.39228958674306,147.2510846392526,144.952690943808,145.5881,20677906.0
20190830,148.81486644484772,148.89429261947973,146.97813615648315,147.7029,18726568.0
20190829,147.08728629870566,148.21910881899268,146.89864921199114,148.0404,18795178.0
20190828,143.52300346663029,146.32773841954415,143.21522724170876,145.4888,20111973.0
